/home/admiral/anaconda3/envs/RLearning/lib/python3.9/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Using device: cpu
Episode  230 | Reward:   10.932 | RPS:  0.219 | Eps: 0.6205 | Steps: 50
Episode  231 | Reward:    6.928 | RPS:  0.139 | Eps: 0.6186 | Steps: 50
Episode  232 | Reward:    7.444 | RPS:  0.149 | Eps: 0.6174 | Steps: 50
Episode  233 | Reward:    6.234 | RPS:  0.125 | Eps: 0.6155 | Steps: 50
Episode  234 | Reward:   11.561 | RPS:  0.231 | Eps: 0.6143 | Steps: 50
Episode  235 | Reward:    2.547 | RPS:  0.051 | Eps: 0.6125 | Steps: 50
Episode  236 | Reward:    8.792 | RPS:  0.176 | Eps: 0.6113 | Steps: 50
Episode  237 | Reward:    7.057 | RPS:  0.141 | Eps: 0.6094 | Steps: 50
Episode  238 | Reward:    7.492 | RPS:  0.150 | Eps: 0.6082 | Steps: 50
Episode  239 | Reward:   17.244 | RPS:  0.345 | Eps: 0.6064 | Steps: 50
Episode  240 | Reward:    7.122 | RPS:  0.142 | Eps: 0.6052 | Steps: 50
Episode  241 | Reward:    8.160 | RPS:  0.163 | Eps: 0.6034 | Steps: 50
Episode  242 | Reward:    4.769 | RPS:  0.095 | Eps: 0.6021 | Steps: 50
Episode  243 | Reward:    9.366 | RPS:  0.187 | Eps: 0.6003 | Steps: 50
Episode  244 | Reward:    6.650 | RPS:  0.133 | Eps: 0.5991 | Steps: 50
Episode  245 | Reward:    6.763 | RPS:  0.135 | Eps: 0.5973 | Steps: 50
Episode  246 | Reward:    3.568 | RPS:  0.071 | Eps: 0.5962 | Steps: 50
Episode  247 | Reward:    6.005 | RPS:  0.120 | Eps: 0.5944 | Steps: 50
Episode  248 | Reward:    6.696 | RPS:  0.134 | Eps: 0.5932 | Steps: 50
Episode  249 | Reward:    4.465 | RPS:  0.089 | Eps: 0.5914 | Steps: 50
Episode  250 | Reward:    4.972 | RPS:  0.099 | Eps: 0.5902 | Steps: 50
Episode  251 | Reward:    9.474 | RPS:  0.189 | Eps: 0.5884 | Steps: 50
Episode  252 | Reward:    5.564 | RPS:  0.111 | Eps: 0.5873 | Steps: 50
Episode  253 | Reward:    2.745 | RPS:  0.055 | Eps: 0.5855 | Steps: 50
